name,type
PCNP,down
C5orf41,up
TCF4,up
HEG1,up
SECISBP2L,down
TPI1P3,down
VIM,up
CLIP3,up
GNB4,down
MSRB3,up
FERMT2,up
LOC100132247,up
ZNF638,up
ATP8B2,up
BOC,up
CCDC80,up
LOC200030,up
MGP,up
ASXL2,up
CNRIP1,up
MLL2,up
RASSF2,down
SLC22A17,up
MATR3,down
ASH1L,up
BNC2,up
LY6G6D,up
PPIAL4G,down
APBB1,up
HSPG2,up
IL6ST,up
MCC,up
BMPR2,up
POLR2I,down
ROMO1,up
TIMP2,up
ZEB1,up
ETS1,up
GEFT,up
MAP3K2,down
PDCD10,down
RAB8B,down
RIF1,down
SPAST,down
SSB,down
AHSA2,up
ANGPTL1,up
C1S,up
CADM3,up
RASGRP4,down
RPL21,up
ADAMTS10,up
ANK2,up
BBX,up
BCLAF1,down
CD2AP,down
CDK1,down
DCUN1D1,down
DDX18,up
FBXL7,up
MAP1A,up
NFATC1,up
NKTR,up
PDZD4,up
S1PR1,up
SCAF1,up
SFRS2IP,up
TIPRL,down
ZEB2,up
ZNF800,up
CCNT1,down
COX6A1,down
CWC22,up
IKZF1,down
JAM2,up
KIAA1033,down
LMOD1,up
PIKFYVE,up
SPDYE8P,up
TNS1,up
C14orf132,up
CBX3,up
CHD9,up
EFEMP2,up
EXOC5,down
FSTL1,up
ITGAL,down
ITPR1,down
KANK2,up
KCNB1,up
MLL,up
MPDZ,up
MPHOSPH10,down
POFUT1,up
RPSAP9,down
TRO,up
XPO1,up
CEP170,up
CIC,up
COL8A2,up
FAM78A,down
GABPA,down
GYPC,up
HSPB8,up
KCNE4,up
LENG8,up
MFAP4,up
MORF4,up
MRVI1,up
NDUFB5,down
OSMR,up
PILRB,up
PKD2,up
PRELP,up
RAB31,up
RGAG4,up
RPL18A,down
SH2D3C,up
SUMO1,down
TOR1AIP1,up
VAV3,down
ACTR2,down
AGAP5,up
FAM96B,up
FLRT2,up
FMNL1,down
GNAO1,up
IFFO1,up
ITGAV,down
LAMC1,up
LSM7,up
MYH11,up
NME1,down
PTPRC,down
RAB34,up
RBPMS2,up
SLC9A9,up
THOC2,up
TIMM16,down
TOMM40,down
TRIB2,up
TSPAN1,down
TTC28,up
ZNF146,up
ABCE1,down
AEBP1,up
AFF4,up
AKAP11,up
AKAP13,up
C10orf99,down
C20orf4,up
